"year_week","sexo","agrp","dpt_cdc","prov_cdc","n"
"2020-04-19","M","18-44","AREQUIPA","ISLAY",1
"2020-04-19","M","18-44","CALLAO","CALLAO",2
"2020-04-19","M","18-44","CUSCO","LA CONVENCION",1
"2020-04-19","M","18-44","ICA","PISCO",1
"2020-04-19","M","18-44","JUNIN","JAUJA",1
"2020-04-19","M","18-44","LA LIBERTAD","TRUJILLO",1
"2020-04-19","M","18-44","LAMBAYEQUE","CHICLAYO",5
"2020-04-19","M","18-44","LIMA","HUAURA",1
"2020-04-19","M","18-44","LIMA","LIMA",7
"2020-04-19","M","18-44","LORETO","MARISCAL RAMON CASTILLA",2
"2020-04-19","M","18-44","LORETO","MAYNAS",5
"2020-04-19","M","18-44","PIURA","MORROPON",1
"2020-04-19","M","18-44","PIURA","PIURA",4
"2020-04-19","M","18-44","PIURA","TALARA",2
"2020-04-19","M","18-44","SAN MARTIN","EL DORADO",1
"2020-04-19","M","18-44","UCAYALI","CORONEL PORTILLO",2
"2020-04-19","M","45-64","ANCASH","CASMA",2
"2020-04-19","M","45-64","ANCASH","HUARMEY",1
"2020-04-19","M","45-64","ANCASH","SANTA",7
"2020-04-19","M","45-64","AREQUIPA","AREQUIPA",5
"2020-04-19","M","45-64","AREQUIPA","CAMANA",1
"2020-04-19","M","45-64","CAJAMARCA","CHOTA",1
"2020-04-19","M","45-64","CAJAMARCA","JAEN",1
"2020-04-19","M","45-64","CALLAO","CALLAO",7
"2020-04-19","M","45-64","CALLAO",NA,1
"2020-04-19","M","45-64","CUSCO","CUSCO",1
"2020-04-19","M","45-64","ICA","CHINCHA",2
"2020-04-19","M","45-64","ICA","PALPA",3
"2020-04-19","M","45-64","ICA","PISCO",1
"2020-04-19","M","45-64","JUNIN","CHUPACA",1
"2020-04-19","M","45-64","JUNIN","JAUJA",1
"2020-04-19","M","45-64","JUNIN","TARMA",1
"2020-04-19","M","45-64","JUNIN","YAULI",1
"2020-04-19","M","45-64","LA LIBERTAD","CHEPEN",1
"2020-04-19","M","45-64","LA LIBERTAD","OTUZCO",1
"2020-04-19","M","45-64","LA LIBERTAD","TRUJILLO",4
