"year","week","sexo","agrp","dpt_cdc","n"
2020,19,"F","0-17","CAJAMARCA",1
2020,19,"F","0-17","LAMBAYEQUE",2
2020,19,"F","0-17","LIMA",2
2020,19,"F","0-17","UCAYALI",1
2020,19,"F","18-44","ANCASH",5
2020,19,"F","18-44","CALLAO",2
2020,19,"F","18-44","ICA",1
2020,19,"F","18-44","JUNIN",1
2020,19,"F","18-44","LA LIBERTAD",2
2020,19,"F","18-44","LAMBAYEQUE",2
2020,19,"F","18-44","LIMA",21
2020,19,"F","18-44","LORETO",7
2020,19,"F","18-44","MADRE DE DIOS",1
2020,19,"F","18-44","PIURA",4
2020,19,"F","18-44","UCAYALI",3
2020,19,"F","45-64","ANCASH",14
2020,19,"F","45-64","AREQUIPA",1
2020,19,"F","45-64","CALLAO",23
2020,19,"F","45-64","HUANUCO",1
2020,19,"F","45-64","ICA",6
2020,19,"F","45-64","JUNIN",3
2020,19,"F","45-64","LA LIBERTAD",5
2020,19,"F","45-64","LAMBAYEQUE",27
2020,19,"F","45-64","LIMA",133
2020,19,"F","45-64","LORETO",32
2020,19,"F","45-64","PASCO",1
2020,19,"F","45-64","PIURA",42
2020,19,"F","45-64","TACNA",1
2020,19,"F","45-64","TUMBES",2
2020,19,"F","45-64","UCAYALI",8
2020,19,"F","65+","ANCASH",23
2020,19,"F","65+","AREQUIPA",5
2020,19,"F","65+","CAJAMARCA",1
2020,19,"F","65+","CALLAO",56
2020,19,"F","65+","CUSCO",3
2020,19,"F","65+","HUANUCO",1
2020,19,"F","65+","ICA",11
2020,19,"F","65+","JUNIN",1
2020,19,"F","65+","LA LIBERTAD",8
2020,19,"F","65+","LAMBAYEQUE",44
2020,19,"F","65+","LIMA",266
2020,19,"F","65+","LORETO",72
2020,19,"F","65+","PASCO",1
2020,19,"F","65+","PIURA",79
2020,19,"F","65+","SAN MARTIN",4
2020,19,"F","65+","TUMBES",7
2020,19,"F","65+","UCAYALI",35
2020,19,"M","0-17","JUNIN",1
2020,19,"M","0-17","LAMBAYEQUE",2
2020,19,"M","0-17","LIMA",5
2020,19,"M","0-17","LORETO",1
2020,19,"M","18-44","ANCASH",1
2020,19,"M","18-44","CAJAMARCA",1
2020,19,"M","18-44","CALLAO",10
2020,19,"M","18-44","HUANCAVELICA",1
2020,19,"M","18-44","ICA",1
2020,19,"M","18-44","LA LIBERTAD",4
2020,19,"M","18-44","LAMBAYEQUE",16
2020,19,"M","18-44","LIMA",63
2020,19,"M","18-44","LORETO",15
2020,19,"M","18-44","MADRE DE DIOS",1
2020,19,"M","18-44","PIURA",17
2020,19,"M","18-44","SAN MARTIN",1
2020,19,"M","18-44","TUMBES",2
2020,19,"M","18-44","UCAYALI",10
2020,19,"M","45-64","AMAZONAS",3
2020,19,"M","45-64","ANCASH",22
2020,19,"M","45-64","AREQUIPA",3
2020,19,"M","45-64","CAJAMARCA",1
2020,19,"M","45-64","CALLAO",55
2020,19,"M","45-64","HUANCAVELICA",1
2020,19,"M","45-64","HUANUCO",3
2020,19,"M","45-64","ICA",17
2020,19,"M","45-64","JUNIN",9
2020,19,"M","45-64","LA LIBERTAD",11
2020,19,"M","45-64","LAMBAYEQUE",63
2020,19,"M","45-64","LIMA",433
2020,19,"M","45-64","LORETO",88
2020,19,"M","45-64","PIURA",89
2020,19,"M","45-64","SAN MARTIN",1
2020,19,"M","45-64","TUMBES",4
2020,19,"M","45-64","UCAYALI",38
2020,19,"M","65+","AMAZONAS",4
2020,19,"M","65+","ANCASH",47
2020,19,"M","65+","APURIMAC",1
2020,19,"M","65+","AREQUIPA",9
2020,19,"M","65+","AYACUCHO",3
2020,19,"M","65+","CAJAMARCA",1
2020,19,"M","65+","CALLAO",96
2020,19,"M","65+","HUANUCO",1
2020,19,"M","65+","ICA",29
2020,19,"M","65+","JUNIN",14
2020,19,"M","65+","LA LIBERTAD",25
2020,19,"M","65+","LAMBAYEQUE",90
2020,19,"M","65+","LIMA",579
2020,19,"M","65+","LORETO",171
2020,19,"M","65+","PIURA",142
2020,19,"M","65+","PUNO",1
2020,19,"M","65+","SAN MARTIN",4
2020,19,"M","65+","TUMBES",11
2020,19,"M","65+","UCAYALI",73
2020,20,"F","0-17","ANCASH",1
2020,20,"F","0-17","CAJAMARCA",1
2020,20,"F","0-17","ICA",1
2020,20,"F","0-17","LAMBAYEQUE",1
2020,20,"F","0-17","LIMA",2
2020,20,"F","0-17","PIURA",2
2020,20,"F","0-17","TUMBES",1
2020,20,"F","18-44","AMAZONAS",1
2020,20,"F","18-44","ANCASH",2
2020,20,"F","18-44","AREQUIPA",1
2020,20,"F","18-44","CALLAO",5
2020,20,"F","18-44","HUANUCO",1
2020,20,"F","18-44","ICA",1
2020,20,"F","18-44","LA LIBERTAD",1
2020,20,"F","18-44","LAMBAYEQUE",2
2020,20,"F","18-44","LIMA",30
2020,20,"F","18-44","LORETO",6
2020,20,"F","18-44","PIURA",9
2020,20,"F","18-44","UCAYALI",4
2020,20,"F","45-64","ANCASH",8
2020,20,"F","45-64","AREQUIPA",1
2020,20,"F","45-64","AYACUCHO",2
2020,20,"F","45-64","CAJAMARCA",2
2020,20,"F","45-64","CALLAO",33
2020,20,"F","45-64","CUSCO",2
2020,20,"F","45-64","HUANUCO",3
2020,20,"F","45-64","ICA",9
2020,20,"F","45-64","JUNIN",4
2020,20,"F","45-64","LA LIBERTAD",4
2020,20,"F","45-64","LAMBAYEQUE",21
2020,20,"F","45-64","LIMA",176
2020,20,"F","45-64","LORETO",17
2020,20,"F","45-64","MADRE DE DIOS",1
2020,20,"F","45-64","MOQUEGUA",1
2020,20,"F","45-64","PIURA",36
2020,20,"F","45-64","SAN MARTIN",3
2020,20,"F","45-64","TACNA",1
2020,20,"F","45-64","TUMBES",2
2020,20,"F","45-64","UCAYALI",14
2020,20,"F","65+","AMAZONAS",1
2020,20,"F","65+","ANCASH",17
2020,20,"F","65+","AREQUIPA",4
2020,20,"F","65+","AYACUCHO",2
2020,20,"F","65+","CAJAMARCA",2
2020,20,"F","65+","CALLAO",57
2020,20,"F","65+","CUSCO",2
2020,20,"F","65+","HUANUCO",2
2020,20,"F","65+","ICA",17
2020,20,"F","65+","JUNIN",4
2020,20,"F","65+","LA LIBERTAD",12
2020,20,"F","65+","LAMBAYEQUE",51
2020,20,"F","65+","LIMA",338
2020,20,"F","65+","LORETO",54
2020,20,"F","65+","MOQUEGUA",1
2020,20,"F","65+","PASCO",2
2020,20,"F","65+","PIURA",97
2020,20,"F","65+","PUNO",2
2020,20,"F","65+","SAN MARTIN",3
2020,20,"F","65+","TUMBES",5
2020,20,"F","65+","UCAYALI",26
2020,20,"M","0-17","CALLAO",1
2020,20,"M","0-17","LAMBAYEQUE",1
2020,20,"M","0-17","LIMA",2
2020,20,"M","0-17","LORETO",2
2020,20,"M","0-17","PIURA",1
2020,20,"M","0-17","SAN MARTIN",1
2020,20,"M","0-17","UCAYALI",3
2020,20,"M","18-44","AMAZONAS",2
2020,20,"M","18-44","ANCASH",4
2020,20,"M","18-44","AREQUIPA",1
2020,20,"M","18-44","AYACUCHO",2
2020,20,"M","18-44","CAJAMARCA",1
2020,20,"M","18-44","CALLAO",9
2020,20,"M","18-44","CUSCO",1
2020,20,"M","18-44","ICA",7
2020,20,"M","18-44","JUNIN",2
2020,20,"M","18-44","LAMBAYEQUE",12
2020,20,"M","18-44","LIMA",84
2020,20,"M","18-44","LORETO",16
2020,20,"M","18-44","PIURA",21
2020,20,"M","18-44","SAN MARTIN",1
2020,20,"M","18-44","TACNA",1
2020,20,"M","18-44","TUMBES",1
2020,20,"M","18-44","UCAYALI",7
2020,20,"M","45-64","AMAZONAS",5
2020,20,"M","45-64","ANCASH",28
2020,20,"M","45-64","AREQUIPA",5
2020,20,"M","45-64","CAJAMARCA",4
2020,20,"M","45-64","CALLAO",75
2020,20,"M","45-64","CUSCO",1
2020,20,"M","45-64","HUANUCO",3
2020,20,"M","45-64","ICA",22
2020,20,"M","45-64","JUNIN",8
2020,20,"M","45-64","LA LIBERTAD",14
2020,20,"M","45-64","LAMBAYEQUE",56
2020,20,"M","45-64","LIMA",456
2020,20,"M","45-64","LORETO",62
2020,20,"M","45-64","PASCO",1
2020,20,"M","45-64","PIURA",122
2020,20,"M","45-64","PUNO",1
2020,20,"M","45-64","SAN MARTIN",2
2020,20,"M","45-64","TACNA",1
2020,20,"M","45-64","TUMBES",4
2020,20,"M","45-64","UCAYALI",28
2020,20,"M","65+","AMAZONAS",1
