"fecha_fallecimiento","sexo","agrp","dpt_cdc","prov_cdc","n"
"2020-04-07","M","18-44","LIMA","LIMA",2
"2020-04-07","M","45-64","ANCASH","SANTA",2
"2020-04-07","M","45-64","CALLAO","CALLAO",1
"2020-04-07","M","45-64","LAMBAYEQUE","CHICLAYO",1
"2020-04-07","M","45-64","LIMA","LIMA",10
"2020-04-07","M","45-64","PIURA","PIURA",2
"2020-04-07","M","65+","AREQUIPA","AREQUIPA",1
"2020-04-07","M","65+","LAMBAYEQUE","CHICLAYO",1
"2020-04-07","M","65+","LAMBAYEQUE","FERREÑAFE",1
"2020-04-07","M","65+","LIMA","LIMA",11
"2020-04-07","M","65+","LORETO","MAYNAS",1
"2020-04-08","F","18-44","LIMA","LIMA",2
"2020-04-08","F","45-64","LIMA","LIMA",6
"2020-04-08","F","65+","AREQUIPA","AREQUIPA",1
"2020-04-08","F","65+","ICA","ICA",1
"2020-04-08","F","65+","JUNIN","HUANCAYO",1
"2020-04-08","F","65+","LA LIBERTAD","ASCOPE",1
"2020-04-08","F","65+","LAMBAYEQUE","FERREÑAFE",1
"2020-04-08","F","65+","LIMA","CAÑETE",1
"2020-04-08","F","65+","LIMA","LIMA",10
"2020-04-08","F","65+","UCAYALI","CORONEL PORTILLO",1
"2020-04-08","M","18-44","LAMBAYEQUE","CHICLAYO",1
"2020-04-08","M","18-44","LIMA","LIMA",4
"2020-04-08","M","45-64","ANCASH","HUARAZ",1
"2020-04-08","M","45-64","AYACUCHO","LUCANAS",1
"2020-04-08","M","45-64","CALLAO","CALLAO",4
"2020-04-08","M","45-64","LA LIBERTAD","CHEPEN",1
"2020-04-08","M","45-64","LAMBAYEQUE","CHICLAYO",3
"2020-04-08","M","45-64","LAMBAYEQUE","FERREÑAFE",1
"2020-04-08","M","45-64","LAMBAYEQUE","LAMBAYEQUE",1
"2020-04-08","M","45-64","LIMA","HUAURA",1
"2020-04-08","M","45-64","LIMA","LIMA",14
"2020-04-08","M","65+","ANCASH","SANTA",1
"2020-04-08","M","65+","CAJAMARCA","CAJAMARCA",1
"2020-04-08","M","65+","JUNIN","CHUPACA",1
"2020-04-08","M","65+","JUNIN","HUANCAYO",2
"2020-04-08","M","65+","LAMBAYEQUE","CHICLAYO",1
"2020-04-08","M","65+","LIMA","LIMA",22
"2020-04-08","M","65+","LORETO","MAYNAS",2
"2020-04-08","M","65+","PASCO","PASCO",1
"2020-04-08","M","65+","PIURA","PIURA",2
"2020-04-08","M","65+","TUMBES","CONTRALMIRANTE VILLAR",1
"2020-04-08","M","65+","TUMBES","TUMBES",1
"2020-04-09","F","0-17","ICA","ICA",1
"2020-04-09","F","0-17","LIMA","LIMA",1
"2020-04-09","F","18-44","LAMBAYEQUE","CHICLAYO",1
"2020-04-09","F","18-44","LIMA","CAÑETE",1
"2020-04-09","F","18-44","LIMA","LIMA",1
"2020-04-09","F","18-44","LORETO","MAYNAS",1
"2020-04-09","F","45-64","LIMA","LIMA",3
"2020-04-09","F","45-64","PIURA","TALARA",1
"2020-04-09","F","45-64","PUNO","PUNO",1
"2020-04-09","F","65+","CALLAO","CALLAO",1
"2020-04-09","F","65+","ICA","ICA",1
"2020-04-09","F","65+","LA LIBERTAD","TRUJILLO",1
"2020-04-09","F","65+","LAMBAYEQUE","FERREÑAFE",2
"2020-04-09","F","65+","LIMA","HUAROCHIRI",1
"2020-04-09","F","65+","LIMA","LIMA",11
"2020-04-09","F","65+","LORETO","ALTO AMAZONAS",1
"2020-04-09","M","0-17","PIURA","PIURA",1
"2020-04-09","M","18-44","LAMBAYEQUE","LAMBAYEQUE",1
"2020-04-09","M","18-44","LIMA","LIMA",1
"2020-04-09","M","45-64","CALLAO","CALLAO",4
"2020-04-09","M","45-64","LAMBAYEQUE","LAMBAYEQUE",1
"2020-04-09","M","45-64","LIMA","CAÑETE",1
"2020-04-09","M","45-64","LIMA","HUAURA",1
"2020-04-09","M","45-64","LIMA","LIMA",15
"2020-04-09","M","65+","ANCASH","HUARMEY",1
"2020-04-09","M","65+","CALLAO","CALLAO",1
"2020-04-09","M","65+","HUANCAVELICA","HUAYTARA",1
"2020-04-09","M","65+","ICA","CHINCHA",1
"2020-04-09","M","65+","ICA","ICA",1
"2020-04-09","M","65+","JUNIN","CHUPACA",1
"2020-04-09","M","65+","JUNIN","HUANCAYO",1
"2020-04-09","M","65+","LAMBAYEQUE","CHICLAYO",3
"2020-04-09","M","65+","LAMBAYEQUE","FERREÑAFE",1
"2020-04-09","M","65+","LIMA","LIMA",11
"2020-04-09","M","65+","TUMBES","TUMBES",1
"2020-04-09","M","65+","UCAYALI","CORONEL PORTILLO",1
"2020-04-10","F","0-17","PIURA","MORROPON",1
